SMILES,P(active),stereo_SMILES
BrC1=CC(C2CCNCC2)=CC=C1,0.0,BrC1=CC(C2CCNCC2)=CC=C1
BrC1=CC(N2CCNCC2)=CC=C1,0.0,BrC1=CC(N2CCNCC2)=CC=C1
BrC1=CC2=C(C=C1)CCNC2,0.0,BrC1=CC2=C(C=C1)CCNC2
BrC1=CC2=C(C=C1)CNC2,0.0,BrC1=CC2=C(C=C1)CNC2
BrC1=CC=C(C2CCCN2)C=C1,0.0,c1cc(ccc1[C@@H]2CCCN2)Br
BrC1=CC=C(N2CCNCC2)C=C1,0.0,BrC1=CC=C(N2CCNCC2)C=C1
BrC1=CN=C(N2CCNCC2)N=C1,0.0,BrC1=CN=C(N2CCNCC2)N=C1
C#CC1(N)CCCCC1,0.0,C#CC1(N)CCCCC1
C(CN1CCNCC1)CN1CCOCC1,0.0,C(CN1CCNCC1)CN1CCOCC1
C1=C(C2=CC=CC=C2)CCNC1,0.0007215007215007215,C1=C(C2=CC=CC=C2)CCNC1
C1=CC(C2CCCN2)=CN=C1,0.0,c1cc(cnc1)[C@H]2CCCN2
C1=CC(CNC2CC2)=CN=C1,0.0,C1=CC(CNC2CC2)=CN=C1
C1=CC(N2CCNCC2)=C2C=C[NH]C2=C1,0.0,C1=CC(N2CCNCC2)=C2C=C[NH]C2=C1
C1=CC(N2CCNCC2)=NN=C1,0.0,C1=CC(N2CCNCC2)=NN=C1
C1=CC2=C(C=C1)CCNCC2,0.0,C1=CC2=C(C=C1)CCNCC2
C1=CC2=C(C=C1)CNC2,0.0,C1=CC2=C(C=C1)CNC2
C1=CC2=C(C=C1)CNCC2,0.0,C1=CC2=C(C=C1)CNCC2
C1=CC2=C(C=C1)N=C(N1CCNCC1)C=C2,0.0,C1=CC2=C(C=C1)N=C(N1CCNCC1)C=C2
C1=CC2=C(C=C1)SC(C1CCNCC1)=N2,0.0,C1=CC2=C(C=C1)SC(C1CCNCC1)=N2
C1=CC2=C(C=C1)[NH]C(C1CCNCC1)=N2,0.0,C1=CC2=C(C=C1)[NH]C(C1CCNCC1)=N2
C1=CC2=C(C=C1)[NH]C(CC1CCCNC1)=N2,0.0,c1ccc2c(c1)[nH]c(n2)C[C@H]3CCCNC3
C1=CC2=C(CCNC2)S1,0.0,C1=CC2=C(CCNC2)S1
C1=CC2=C(CNCC2)S1,0.0,C1=CC2=C(CNCC2)S1
C1=CC=C(C(C2=CC=CC=C2)[C@@H]2CCCN2)C=C1,0.0,C1=CC=C(C(C2=CC=CC=C2)[C@@H]2CCCN2)C=C1
C1=CC=C(C2(C3=CC=CC=C3)CCNCC2)C=C1,0.0,C1=CC=C(C2(C3=CC=CC=C3)CCNCC2)C=C1
C1=CC=C(C2=CC(N3CCNCC3)=CC=C2)C=C1,0.0,C1=CC=C(C2=CC(N3CCNCC3)=CC=C2)C=C1
C1=CC=C(C2=CC=C(C3CCCN3)C=C2)C=C1,0.0,c1ccc(cc1)c2ccc(cc2)[C@H]3CCCN3
C1=CC=C(C2=CC=C(N3CCNCC3)C=C2)C=C1,0.0,C1=CC=C(C2=CC=C(N3CCNCC3)C=C2)C=C1
C1=CC=C(C2=NN=C(C3CCNCC3)O2)C=C1,0.0,C1=CC=C(C2=NN=C(C3CCNCC3)O2)C=C1
