SMILES,P(active),stereo_SMILES
C(C#N)[C@H](C(=O)O)N,0.0,C(C#N)[C@H](C(=O)O)N
C(C(=O)O)N,0.0,C(C(=O)O)N
C(C(C(=O)O)N)C(=O)N,0.0,C([C@H](C(=O)O)N)C(=O)N
C(CC(=O)O)C(=O)O,0.00015402782769420343,C(CC(=O)O)C(=O)O
C(CC(=O)O)[C@@H](C(=O)N)N,8.94854586129754e-05,C(CC(=O)O)[C@@H](C(=O)N)N
C(CCN)CC(=O)O,0.0,C(CCN)CC(=O)O
C(CN)C(=O)O,0.0,C(CN)C(=O)O
C(COCC(=O)O)N,0.0,C(COCC(=O)O)N
C(C[C@H](C(=O)O)N)CNC(=O)N,0.0,C(C[C@H](C(=O)O)N)CNC(=O)N
C([C@@H](C(=O)O)O)N,0.0,C([C@@H](C(=O)O)O)N
C([C@H](C(=O)O)N)O,0.0,C([C@H](C(=O)O)N)O
C1C(CC12C(C2(F)F)C(=O)O)C(=O)O,0.08104595550010397,C1C(CC12[C@@H](C2(F)F)C(=O)O)C(=O)O
C1C(CC12CC(C2)C(=O)O)C(=O)O,0.2680622259344331,C1C(CC12CC(C2)C(=O)O)C(=O)O
C1C(CC1C(=O)O)C(=O)O,0.01205437291613234,C1C(CC1C(=O)O)C(=O)O
C1C2(CC1(C2)C(=O)O)C(=O)O,0.005872656089017103,C1C2(CC1(C2)C(=O)O)C(=O)O
C1CC(C(=O)N(C1)CC(=O)O)C(=O)O,0.002664437594692022,C1C[C@H](C(=O)N(C1)CC(=O)O)C(=O)O
C1CC(C1)(C(=O)O)N,0.0,C1CC(C1)(C(=O)O)N
C1CC(C1)C[C@H](C(=O)O)N,0.0,C1CC(C1)C[C@H](C(=O)O)N
C1CC(CC(C1)C(=O)O)C(=O)O,0.15228049324023177,C1C[C@H](C[C@H](C1)C(=O)O)C(=O)O
C1CC(CC(C1)N)C(=O)O,0.0020353982300884955,C1C[C@H](C[C@H](C1)N)C(=O)O
